Pays,Clics,Impressions,CTR,Position
France,64,1652,3.87%,18.56
Côte d'Ivoire,1,2,50%,11
États-Unis,0,98,0%,5.69
Italie,0,15,0%,10.27
Tunisie,0,9,0%,20.67
Canada,0,8,0%,1
Argentine,0,6,0%,4.83
Pays-Bas,0,5,0%,4.8
Royaume-Uni,0,4,0%,6.25
Espagne,0,4,0%,17.5
Maroc,0,3,0%,3.67
Mexique,0,2,0%,1
Israël,0,2,0%,5.5
Allemagne,0,2,0%,7
Suisse,0,2,0%,11
Turquie,0,2,0%,29.5
Belgique,0,2,0%,34.5
Inde,0,1,0%,1
Cambodge,0,1,0%,1
Madagascar,0,1,0%,1
République démocratique du Congo,0,1,0%,2
Algérie,0,1,0%,2
Équateur,0,1,0%,3
Suède,0,1,0%,4
Émirats Arabes Unis,0,1,0%,8
Pérou,0,1,0%,10
République tchèque,0,1,0%,11
Bénin,0,1,0%,103
